census_tract,year,housing_units,total_value,median_value,mean_limit_con,median_distance_to_transit,mean_distance_to_transit,housing_units_std,total_value_std,median_value_std,median_distance_to_transit_std,mean_distance_to_transit_std,year_id,income,segregation,white,income_std
27053001700,2018,12,155950200.0,192000.0,0.4027576197387518,310.8206259965126,302.8250577812124,-0.27849194372792524,-0.48894873335390293,-0.09828947273938106,-0.6433090147257432,-0.6949460979592387,2,45819,0.0460568518615029,0.5905829596412556,-0.4940683685585922
27053001700,2019,134,165835400.0,220000.0,0.4043165467625899,310.87784217982073,303.75507899172766,1.0498790007405914,-0.466705353515595,0.197244440043392,-0.64320562443124,-0.6932447760779213,3,46094,0.0470804199031444,0.5753012048192772,-0.4845507677908116
27053002200,2011,6,43125000.0,87000.0,1.0,318.2070185299963,343.47979969853697,-0.34382166230834404,-0.7428246062682655,-1.2065416456747802,-0.6299617193418295,-0.6205748887639823,0,26771,0.8762194243909275,0.05064145847400405,-1.153309311921083
27053002200,2012,4,39781300.0,80750.0,1.0,318.2299711056985,344.14696980889426,-0.36559823516848367,-0.7503484994788582,-1.2725090369209349,-0.6299202437762771,-0.6193544100324457,4,26771,0.8762194243909275,0.05064145847400405,-1.153309311921083
27053002200,2013,4,37332100.0,73500.0,1.0,318.2070185299963,344.0847544130743,-0.36559823516848367,-0.7558596156828786,-1.3490312107664744,-0.6299617193418295,-0.6194682229359221,1,26771,0.8762194243909275,0.05064145847400405,-1.153309311921083
27053002200,2014,2,38817200.0,76000.0,1.0,320.78158648964023,345.02383945848413,-0.3873748080286233,-0.752517888312884,-1.3226442542680124,-0.6253094457336301,-0.6177503202492849,5,22829,0.835480267503516,0.07163120567375887,-1.2897397927450511
27053002200,2015,2,39163300.0,80000.0,0.4695863746958637,320.99901497550303,345.2870781700292,-0.3873748080286233,-0.7517391044984909,-1.2804251238704734,-0.6249165499847876,-0.6172687680277895,6,26750,0.5797778131000693,0.11142454160789844,-1.1540361105251682
27053002200,2016,7,44254300.0,92000.0,0.4669926650366748,320.99901497550303,343.95110319948884,-0.33293337587827426,-0.7402834893610304,-1.1537677326778564,-0.6249165499847876,-0.619712715998625,7,28966,0.8014972928576016,0.08119361554476058,-1.0773415530655253
27053002200,2017,1,47156700.0,95500.0,0.4671532846715328,320.99901497550303,343.8214691218219,-0.3982630944586931,-0.7337525961426125,-1.1168259935800098,-0.6249165499847876,-0.619949860367383,8,43542,0.9024425639618664,0.13081009296148738,-0.5728741029158156
27053002200,2020,2,67738800.0,132500.0,0.4702233250620347,320.99901497550303,344.5039679301505,-0.3873748080286233,-0.687439373530016,-0.7262990374027739,-0.6249165499847876,-0.6187013402869224,9,41563,0.934623947167035,0.1409090909090909,-0.6413662189864986
27053002400,2011,2,135433900.0,149000.0,1.0,1031.2896240971677,1057.381411044748,-0.3873748080286233,-0.5351138947847972,-0.5521451245129254,0.6585866656093466,0.6853914900223118,0,41636,0.0571086888338697,0.7275569450647611,-0.6388397286008696
27053002400,2013,150,125799700.0,128500.0,1.0,1031.2896240971677,1056.3162262453795,1.2240915836217083,-0.5567924819695003,-0.7685181678003129,0.6585866656093466,0.6834429084347929,1,41636,0.0571086888338697,0.7275569450647611,-0.6388397286008696
27053002400,2014,1,127098700.0,131750.0,1.0,1031.2896240971677,1056.5570940690604,-0.3982630944586931,-0.5538695112243497,-0.7342151243523124,0.6585866656093466,0.6838835367713301,5,39500,0.0318218278999945,0.6926973406500633,-0.7127655294735219
27053002400,2015,1,137432500.0,142500.0,0.9673659673659674,223.9995654234364,252.64097440795672,-0.3982630944586931,-0.5306167051533439,-0.6207512114089263,-0.8001956594254888,-0.786749680685566,6,41768,0.022250955754174,0.6628165259884495,-0.6342712802323349
