,census_tract,year
782,27053009600,2012
783,27053106600,2016
784,27053125600,2013
785,27053109800,2016
786,27053110500,2020
787,27053105600,2017
788,27053003300,2012
789,27053010600,2017
790,27053104800,2014
791,27053008100,2011
792,27053110500,2014
793,27053101200,2016
794,27053126100,2014
795,27053005902,2012
796,27053009600,2017
797,27053100900,2013
798,27053125700,2013
799,27053002200,2017
800,27053102100,2014
801,27053101800,2017
802,27053003800,2018
803,27053108600,2011
804,27053106200,2011
805,27053005902,2018
806,27053000601,2017
807,27053008100,2013
808,27053110900,2016
809,27053100900,2016
810,27053106500,2011
811,27053002400,2015
812,27053011703,2015
813,27053102800,2019
814,27053002700,2018
815,27053109900,2013
