census_tract,year,housing_units,total_value,median_value,mean_limit_con,median_distance_to_transit,mean_distance_to_transit,housing_units_std,total_value_std,median_value_std,median_distance_to_transit_std,mean_distance_to_transit_std,year_id
27053003300,2011,2,51261800.0,96000.0,1.0,325.157817928995,334.9878024469563,-0.38856980135267816,-0.7025441598643959,-1.1091470720161571,-0.6192053641131665,-0.6376393477217598,0
27053003300,2012,1,49496200.0,91000.0,1.0,325.157817928995,334.9878024469563,-0.3992309502474189,-0.7063300939975148,-1.1618330778483656,-0.6192053641131665,-0.6376393477217598,4
27053003300,2013,1,47545400.0,88500.0,1.0,325.10657365541334,334.97025141890737,-0.3992309502474189,-0.7105131480906778,-1.18817608076447,-0.619295746614315,-0.6376707060435312,1
27053003300,2015,2,52339500.0,97250.0,0.40391459074733094,325.25070931096803,335.4215209546235,-0.38856980135267816,-0.7002332733582437,-1.0959755705581051,-0.6190415261884374,-0.6368644253363754,6
27053003300,2016,3,56373600.0,105000.0,0.40408525754884544,318.6468190702619,333.88426685974736,-0.3779086524579374,-0.6915830485698345,-1.014312261518182,-0.630689190903876,-0.6396110284650973,7
27053003300,2017,3,61415100.0,115500.0,0.40408525754884544,318.6468190702619,333.8864699668754,-0.3779086524579374,-0.6807726798950956,-0.9036716492705443,-0.630689190903876,-0.6396070921861498,8
27053003300,2018,4,66960000.0,126500.0,0.40619307832422585,320.7986769708373,335.73501216903327,-0.36724750356319663,-0.6688828825600642,-0.7877624364396857,-0.6268938341629848,-0.6363043123705393,2
27053003300,2019,1,88256600.0,135500.0,0.3945518453427065,308.08787060971764,327.81478518800077,-0.3992309502474189,-0.6232170891417469,-0.6929276259417105,-0.6493126214778625,-0.6504553367709945,3
27053003300,2020,1,90340100.0,149250.0,0.3994661921708185,314.89993072597,331.2057010289523,-0.3992309502474189,-0.6187494895912523,-0.5480411099031373,-0.637297795464183,-0.644396806766727,9
27053003800,2011,16,218212200.0,218750.0,0.9984615384615385,1293.9965619537866,1338.696355436803,-0.2393137168263077,-0.3445563835289505,0.18429437116456007,1.089591790656151,1.1556810026065538,0
27053003800,2012,170,215265600.0,203750.0,0.9984615384615385,1293.9965619537866,1338.6963154886762,1.4025032129637671,-0.3508747079040345,0.026236353667934746,1.089591790656151,1.1556809312314633,4
27053003800,2013,240,221649700.0,192500.0,0.9984496124031008,1293.834803467514,1338.836888705415,2.1487836355956196,-0.337185433946601,-0.09230715945453426,1.0893064878203516,1.1559320925965209,1
27053003800,2014,56,231410700.0,199000.0,0.9984544049459042,1290.8456765846636,1337.783391019507,0.18713223896332212,-0.3162551535470914,-0.023815351872663277,1.0840343911539445,1.1540498142862137,5
27053003800,2015,40,291328700.0,217500.0,0.9984544049459042,1288.3822355241723,1337.4456757213698,0.016553856647470194,-0.18777440967066336,0.17112286970650797,1.0796894770998038,1.1534464202880628,6
27053003800,2016,126,360030800.0,221000.0,0.9984639016897081,1271.6911488924925,1336.0346158250254,0.9334126615951744,-0.04045812885567041,0.2080030737890539,1.0502504383308373,1.1509252876145306,7
27053003800,2017,17,386041600.0,242000.0,0.9984544049459042,1290.8456765846636,1338.2256026725788,-0.22865256793156696,0.01531621162333414,0.42928429828432935,1.0840343911539445,1.1548399113260803,8
27053003800,2018,12,423488300.0,272000.0,1.0,1245.7257139800206,1339.3014548942435,-0.2819583124052707,0.09561228077980528,0.74540033327758,1.0044536929235908,1.1567621303579996,2
27053003800,2019,137,465140500.0,292000.0,1.0,1245.7257139800206,1337.1745458401358,1.0506852994373226,0.18492610367258802,0.9561443566064138,1.0044536929235908,1.1529619940747458,3
27053003802,2020,12,239151500.0,334500.0,1.0,1718.2194257569438,1739.3630002214752,-0.2819583124052707,-0.29965674001194914,1.4039754061801855,1.8378182908098,1.871549812979625,9
27053005901,2011,18,102238300.0,81500.0,0.01639344262295082,143.6036712437304,245.86943191133818,-0.2179914190368262,-0.5932364620070453,-1.2619364889295617,-0.9394229557461582,-0.7968666323688398,0
27053005901,2013,1,93002500.0,85000.0,0.02040816326530612,259.5350161274163,301.3103453500922,-0.3992309502474189,-0.6130405685241839,-1.225056284847016,-0.7349481104660714,-0.6978106683498565,1
27053005901,2016,2,109451300.0,79500.0,0.01020408163265306,257.63786046845127,301.340414514256,-0.38856980135267816,-0.5777697974725035,-1.2830108912624452,-0.7382942340724897,-0.697756943945644,7
27053005901,2019,0,138246500.0,105250.0,0.01016260162601626,268.01702009778376,301.41536281904223,-0.4098920991421596,-0.5160249342248897,-1.0116779612265716,-0.7199879075007212,-0.6976230342366998,3
27053005901,2020,201,153384400.0,122500.0,0.01020408163265306,278.40376697312377,302.05949217231864,1.7329988287007303,-0.483565094899028,-0.8299112411054524,-0.7016681988625663,-0.6964721719928407,9
27053005902,2011,3,75251200.0,112500.0,1.0,134.73937772846014,130.7281268295775,-0.3779086524579374,-0.6511042593812492,-0.9352832527698693,-0.9550574249819864,-1.0025889458346404,0
27053005902,2012,1,70298900.0,101500.0,1.0,134.68187222488308,130.38121848400763,-0.3992309502474189,-0.6617233586151895,-1.0511924656007279,-0.955158850778077,-1.0032087649982373,4
27053005902,2013,5,66895000.0,98500.0,1.0,134.7968832320372,131.07450736125733,-0.3565863546684559,-0.6690222605158032,-1.0828040691000531,-0.9549559991858959,-1.0019700697131122,1
27053005902,2014,91,65591700.0,92000.0,1.0,134.37890188659927,130.39689527703663,0.5602724502792482,-0.6718168957421817,-1.151295876681924,-0.9556932171576544,-1.0031807553614926,5
27053005902,2015,1,71668000.0,96250.0,0.2330508474576271,134.37335826570637,130.03741602389053,-0.3992309502474189,-0.6587876300120783,-1.1065127717245469,-0.9557029947637496,-1.0038230348939996,6
27053005902,2018,4,86813900.0,130500.0,0.23993808049535603,137.52208700944064,130.508534267129,-0.36724750356319663,-0.6263106364762795,-0.7456136317739189,-0.9501493990269798,-1.0029812906142546,2
27053005902,2019,2,100064800.0,139000.0,0.23970588235294119,136.377358153785,132.17049720870267,-0.38856980135267816,-0.5978970464193323,-0.6560474218591646,-0.9521684237858377,-1.0000118708999983,3
27053005902,2020,1,107408800.0,160500.0,0.2369186046511628,134.76068938803968,131.26246500432163,-0.3992309502474189,-0.5821494816970705,-0.4294975967806683,-0.9550198363703857,-1.001634246863638,9
27053006800,2013,2,193843200.0,215000.0,1.0,75.9775625172101,88.14540228009626,-0.38856980135267816,-0.39681025127361286,0.14477986679040375,-1.058699050857649,-1.078671257058885,1
27053006800,2015,2,211606800.0,233250.0,0.11386986301369863,75.9775625172101,88.44064328742289,-0.38856980135267816,-0.35872018581876924,0.3370837880779646,-1.058699050857649,-1.0781437516340153,6
27053006800,2016,1,238364300.0,251750.0,0.11301369863013698,76.13799821305889,88.93471513564666,-0.3992309502474189,-0.3013447142697602,0.5320220096571358,-1.0584160811041368,-1.077260996279082,7
27053006800,2017,76,261003700.0,279500.0,0.11320754716981132,76.13799821305889,88.93480908717086,0.400355216858137,-0.2527995867134999,0.8244293420258927,-1.0584160811041368,-1.0772608284164293,8
27053006800,2018,82,292110800.0,298500.0,0.11398963730569948,76.13799821305889,89.40112848384057,0.4643221102265815,-0.18609737122168718,1.0246361641882848,-1.0584160811041368,-1.0764276582084944,2
27053006800,2019,2,330017300.0,335300.0,0.11301369863013698,76.13799821305889,88.81617499914744,-0.38856980135267816,-0.10481536384908097,1.4124051671133389,-1.0584160811041368,-1.0774727912652677,3
27053007700,2011,136,325673400.0,167500.0,1.0,107.06049747843176,132.33345421793692,1.0400241505425818,-0.11412988541730447,-0.35573718861557646,-1.0038762734334463,-0.9997207165404803,0
27053007700,2012,682,314288011.0,161900.0,1.0,107.06049747843176,132.1022681004029,6.861011447071029,-0.1385433045575044,-0.41474551514764996,-1.0038762734334463,-1.0001337754588808,4
27053007700,2013,5,331938500.0,156750.0,1.0,107.06049747843176,128.11193520657196,-0.3565863546684559,-0.10069578033268532,-0.4690121011548246,-1.0038762734334463,-1.0072632804947554,1
27053007700,2015,45,534146100.0,171250.0,0.21097560975609755,104.31100399472474,127.50559130238474,0.06985960112117393,0.3328931723270699,-0.31622268424142014,-1.00872571475791,-1.0083466316921097,6
27053007700,2016,128,665896200.0,176750.0,0.21323529411764705,107.06049747843176,128.38043467233837,0.9547349593846559,0.615401781656383,-0.25826807782599087,-1.0038762734334463,-1.00678355402976,7
27053007700,2017,115,765892200.0,190000.0,0.21419753086419754,106.670771877327,128.02225967161513,0.8161400237530262,0.82982082876522,-0.11865016237063848,-1.0045636551080708,-1.007423503261898,8
27053007700,2018,113,840921200.0,212000.0,0.21585051546391754,103.11451369499609,127.97386533247663,0.7948177259635447,0.9907037309365962,0.11316826329107868,-1.010836034181545,-1.0075099691517813,2
27053007700,2019,400,894543100.0,216000.0,0.20983810709838108,101.40152688567984,127.0599090888527,3.8545674587541385,1.105683897164899,0.15531706795684544,-1.0138573284928736,-1.0091429295625678,3
27053007700,2020,81,940523800.0,238500.0,0.20983810709838108,101.40152688567984,127.05991489476168,0.45366096133184075,1.2042792197717762,0.3924040942017834,-1.0138573284928736,-1.0091429191891832,9
27053007801,2011,4,67472300.0,129500.0,1.0,289.3739161558785,280.5629435117447,-0.36724750356319663,-0.6677843698412169,-0.7561508329403607,-0.6823195096957687,-0.7348799329509363,0
27053007801,2012,4,64561200.0,129500.0,1.0,289.3739161558785,279.89138890893605,-0.36724750356319663,-0.674026572409705,-0.7561508329403607,-0.6823195096957687,-0.7360797957318064,4
27053007801,2016,79,62256800.0,174000.0,0.40638297872340423,211.95778083432617,270.7271359459913,0.4323386635423593,-0.678967842582088,-0.2872453810337055,-0.818862843234585,-0.752453514262998,7
27053007801,2019,3,89604200.0,199000.0,0.3987341772151899,211.9431527756492,267.76979457515307,-0.3779086524579374,-0.6203274624778417,-0.023815351872663277,-0.8188886435911472,-0.7577373792329577,3
27053007801,2020,53,107483100.0,222000.0,0.3987341772151899,211.9431527756492,267.76979457515307,0.1551487922790999,-0.5819901619722796,0.21854027495549558,-0.8188886435911472,-0.7577373792329577,9
27053008100,2011,6,307860600.0,276500.0,1.0,147.9380711153872,148.14660862464314,-0.34592520577371516,-0.15232544926326122,0.7928177385265676,-0.931778122987354,-0.9714674436995177,0
27053008100,2013,3,293178100.0,252500.0,1.0,147.95110264200176,149.21497521232743,-0.3779086524579374,-0.18380878518845323,0.5399249105319671,-0.9317551385271033,-0.9695585992071618,1
27053008100,2014,6,303732600.0,260000.0,1.0,147.95625976278103,149.6420643585438,-0.34592520577371516,-0.16117702159080713,0.6189539192802798,-0.931746042613703,-0.9687955214640931,5
27053008100,2016,5,354226000.0,296500.0,0.22075055187637968,149.20337872766234,150.00280867217737,-0.3565863546684559,-0.0529052235860334,1.0035617618554014,-0.9295464264732555,-0.9681509816552242,7
27053008100,2017,9,390358900.0,316750.0,0.22075055187637968,149.20337872766234,150.00280867217737,-0.3139417590894929,0.024573695443516768,1.2169400854758456,-0.9295464264732555,-0.9681509816552242,8
27053008100,2018,25,417567000.0,328250.0,0.22075055187637968,149.20337872766234,150.00280867217737,-0.143363376773641,0.08291537786723321,1.338117898889925,-0.9295464264732555,-0.9681509816552242,2
27053008100,2019,1,470171000.0,376250.0,0.22075055187637968,149.20337872766234,150.00280867217737,-0.3992309502474189,0.19571288530866351,1.843903554879126,-0.9295464264732555,-0.9681509816552242,3
27053008100,2020,5,483031100.0,396000.0,0.22075055187637968,149.20337872766234,150.00281527417337,-0.3565863546684559,0.22328849221018313,2.0520132779163496,-0.9295464264732555,-0.9681509698594756,9
27053008200,2014,4,167543900.0,174500.0,1.0,248.61173565580933,256.5022188345613,-0.36724750356319663,-0.4532032154484742,-0.28197678045048463,-0.7542141345652807,-0.7778690925816963,5
27053008200,2016,3,196997500.0,202500.0,0.33659730722154224,248.61173565580933,256.5031917955242,-0.3779086524579374,-0.3900465607230368,0.013064852209882634,-0.7542141345652807,-0.77786735419789,7
27053008200,2019,12,264126200.0,259000.0,0.336996336996337,248.61173565580933,256.96400680522095,-0.2819583124052707,-0.24610408414742382,0.608416718113838,-0.7542141345652807,-0.7770440186467837,3
