,GeoFIPS,GeoName,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1790,35023,"Hidalgo, NM",6.77202035080081e-07,6.856235493614615e-07,6.934836293574167e-07,7.017928567817121e-07,6.933713425003316e-07,6.996594064970958e-07,7.133584030614748e-07,6.474460179525363e-07,6.107282156857172e-07,5.919763105525098e-07,5.756947162751741e-07,5.645783174237518e-07,5.563813768565414e-07,5.525636237156489e-07,5.619957197107951e-07,5.639045962812414e-07,5.635677357099861e-07,5.463878465759698e-07,5.447035437196937e-07,5.383031928658445e-07,5.213478774459983e-07,5.13375510592958e-07,5.013608168848551e-07,4.891215494625821e-07,4.868758123208806e-07,4.794648797532658e-07,4.765454214690538e-07,4.658781700459718e-07,4.5745665576459124e-07
1791,35025,"Lea, NM",4.9808043469341665e-06,5.012279457366321e-06,4.977375494121725e-06,4.971221142919907e-06,4.961286261694115e-06,5.003663365683776e-06,4.958560763304739e-06,4.8587723545324045e-06,4.868707235758197e-06,4.9533735244346354e-06,4.9800130732082185e-06,5.052810255995437e-06,5.128420856474915e-06,5.234803212963483e-06,5.368176795437167e-06,5.515793304977915e-06,5.6693004078118315e-06,5.684686285816376e-06,5.753175422762322e-06,5.884526861269694e-06,6.107050616866855e-06,6.267679183234304e-06,6.407382955515572e-06,6.322804586142017e-06,6.234094009532955e-06,6.303022742993316e-06,6.470333176379881e-06,6.557549124839931e-06,6.418460787678844e-06
1792,35027,"Lincoln, NM",1.1269503402007134e-06,1.193443686987962e-06,1.2682487021236169e-06,1.3410557200601354e-06,1.4126639396771726e-06,1.4683681015890864e-06,1.505450929605052e-06,1.5565996579029356e-06,1.5450911940359117e-06,1.5558004590232812e-06,1.5928033671512812e-06,1.6177383721964996e-06,1.634601468557208e-06,1.645390653432543e-06,1.6337223497895882e-06,1.6350010679970353e-06,1.640036020938858e-06,1.635160907772966e-06,1.6348412282211045e-06,1.6210150876030826e-06,1.6065495878813376e-06,1.5789772265332596e-06,1.5619542903966202e-06,1.5693868399774065e-06,1.5785776270934325e-06,1.5899262511845253e-06,1.6025535934830652e-06,1.6220540461466335e-06,1.6332428304617954e-06
1793,35028,"Los Alamos, NM",6.522383366205665e-05,6.586779252754944e-05,6.634191608785733e-05,6.499738658847675e-05,6.511768659631608e-05,6.539366896724156e-05,6.548920132640807e-05,6.461879538733538e-05,6.230832758971561e-05,6.390053357582418e-05,6.513183953841482e-05,6.51601454226123e-05,6.512830130289013e-05,6.537597778961813e-05,6.468248362677973e-05,6.341933354446692e-05,6.277537467897412e-05,6.366701003119492e-05,6.45161865571195e-05,6.454449244131698e-05,6.355024825888029e-05,6.304428057885023e-05,6.309381587619584e-05,6.447018949529859e-05,6.635960726548076e-05,6.719816908483128e-05,6.847547210924282e-05,6.87266868314955e-05,6.839409269217506e-05
1794,35029,"Luna, NM",2.765835542530855e-06,2.8591976292496827e-06,2.9610235034674283e-06,3.048265620763962e-06,3.134466041137552e-06,3.202436765359627e-06,3.2559539447758594e-06,3.243323369585167e-06,3.2023065532442595e-06,3.207124401512874e-06,3.2243124007414446e-06,3.2321251276635225e-06,3.2685845199665516e-06,3.2947571551555118e-06,3.2980124580397107e-06,3.3041324274620046e-06,3.270798125927807e-06,3.270798125927807e-06,3.2938456703479357e-06,3.289548670540793e-06,3.266370914005296e-06,3.263506247467201e-06,3.2750951257349495e-06,3.2952780036169834e-06,3.2855120949643866e-06,3.2710585501585426e-06,3.2728815197736943e-06,3.309991972653563e-06,3.324575729574775e-06
1795,35031,"McKinley, NM",4.7216394482881265e-06,4.831001913720041e-06,4.97209649347417e-06,5.078059089514419e-06,5.126719720182635e-06,5.193300495769422e-06,5.209237383542856e-06,5.281342946891099e-06,5.268876759121658e-06,5.161285058997903e-06,5.067576158890116e-06,5.064388781335429e-06,5.005316050655237e-06,4.996462224114441e-06,4.955238807740493e-06,4.989945807780415e-06,4.9983038200349265e-06,5.079829854822578e-06,5.139823383463013e-06,5.155476948787141e-06,5.189900626377757e-06,5.212141438648236e-06,5.273055765248914e-06,5.2542148223701e-06,5.2257409162148994e-06,5.20328761210744e-06,5.180055171264391e-06,5.144427373264227e-06,5.084221352786813e-06
1796,35033,"Mora, NM",8.833499710339382e-07,9.09407492303376e-07,9.324583765032631e-07,9.789610298456443e-07,9.85375188927352e-07,9.939942151933967e-07,1.0216552762332615e-06,1.0414990808922947e-06,1.0354858067531938e-06,1.0324791696836433e-06,1.031276514855823e-06,1.0144393472663403e-06,1.0026132414594415e-06,1.000608816746408e-06,9.949964275499135e-07,9.839720916282284e-07,9.7394996806306e-07,9.791614723169475e-07,9.506986413918695e-07,9.248415625937352e-07,9.208327131676679e-07,8.987840413242975e-07,8.921694397712864e-07,8.713234227557362e-07,8.657110335592419e-07,8.488738659697591e-07,8.466689987854221e-07,8.386512999332873e-07,8.410566095889277e-07
1797,35035,"Otero, NM",3.23587087421064e-06,3.3697573015111144e-06,3.475091411781527e-06,3.5499463615413214e-06,3.5924536965063216e-06,3.576805391876349e-06,3.614466423541768e-06,3.6289469442441307e-06,3.5779147866075786e-06,3.573068483307997e-06,3.583403371067345e-06,3.6587838235945637e-06,3.6512516172614797e-06,3.631808014866775e-06,3.647339541103987e-06,3.6492079953881626e-06,3.647105984318465e-06,3.7604978036893857e-06,3.833250742379482e-06,3.866707751905506e-06,3.872429893150794e-06,3.816259486232758e-06,3.7831528118850174e-06,3.834360137110711e-06,3.859350713161563e-06,3.884516456801557e-06,3.940628474523212e-06,3.962349255576756e-06,4.001820352329971e-06
1798,35037,"Quay, NM",1.438703256013815e-06,1.442061887202567e-06,1.4245970050210565e-06,1.4244626597735065e-06,1.4039078368983442e-06,1.4012209319473424e-06,1.3914137288761865e-06,1.3450646184714086e-06,1.3153743187628408e-06,1.2948194958876784e-06,1.2817880068753207e-06,1.2502168737010517e-06,1.2267064553797876e-06,1.21394365686253e-06,1.2085698469605265e-06,1.2061516325046253e-06,1.1983596081467206e-06,1.2197205025071834e-06,1.2242882409238861e-06,1.199434370127121e-06,1.1886867503231146e-06,1.1671915107151018e-06,1.1717592491318045e-06,1.170818832398954e-06,1.1639672247738998e-06,1.1585934148718966e-06,1.1713562133891543e-06,1.1716249038842545e-06,1.162892462793499e-06
1799,35039,"Rio Arriba, NM",2.3907755254699797e-06,2.450131529670703e-06,2.51726112820626e-06,2.5809650750010435e-06,2.606064561794024e-06,2.6436808530244493e-06,2.689531884016351e-06,2.7139725916284133e-06,2.6924305124123907e-06,2.682351190944343e-06,2.6625219375987076e-06,2.6576469716599136e-06,2.6481605514546924e-06,2.657185826233271e-06,2.652772005721119e-06,2.635643747017248e-06,2.636631915788625e-06,2.656856436642812e-06,2.6654205659947473e-06,2.673721183674316e-06,2.676553934152264e-06,2.6657499555852064e-06,2.652508494048752e-06,2.6550777328543326e-06,2.665222932240472e-06,2.6614678909092387e-06,2.6663428568480327e-06,2.652508494048752e-06,2.646908871010948e-06
1800,35041,"Roosevelt, NM",2.8254639109148744e-06,2.983626751067763e-06,2.9825218210467347e-06,2.976839323795733e-06,2.9582133605841153e-06,2.9179623383895177e-06,2.8617687544629427e-06,2.842353555522019e-06,2.900756999490651e-06,2.940218785955942e-06,2.955214264812753e-06,2.9763657823581494e-06,3.0137755559272455e-06,3.028455340492334e-06,3.0557628967263156e-06,3.0107764601558835e-06,3.029402423367501e-06,3.16325680305777e-06,3.240917598821464e-06,3.237129267320796e-06,3.2038235195440895e-06,3.156627222931601e-06,3.088279408773716e-06,3.1018542633177764e-06,3.069969139853821e-06,3.0535530366842597e-06,3.0308230476802514e-06,3.017721734573775e-06,3.0020948671335192e-06
1801,35043,"Sandoval, NM",7.459395054889102e-06,7.84464450373396e-06,8.202212603742315e-06,8.52450259376731e-06,8.784561581520767e-06,8.978539153818665e-06,9.169811030365626e-06,9.496055498795835e-06,9.723854267980436e-06,1.0017630387399408e-05,1.0338879725212504e-05,1.0675322585319317e-05,1.1180351103753704e-05,1.1887474281738796e-05,1.2529556696480228e-05,1.3046448650130258e-05,1.3422852555173978e-05,1.3782918220490891e-05,1.3985012880041598e-05,1.4099692753792822e-05,1.4200740083568175e-05,1.427878899946057e-05,1.4439049440092953e-05,1.4650509969550747e-05,1.4888715260854335e-05,1.5160533618602246e-05,1.533421847276812e-05,1.5528404175508397e-05,1.5752248466287785e-05
1802,35045,"San Juan, NM",6.845625614580541e-06,7.005532531595462e-06,7.095388322163146e-06,7.271810789469323e-06,7.383080810499399e-06,7.597503039704527e-06,7.878057451219983e-06,7.987018094455094e-06,8.099967662972417e-06,8.357848183410046e-06,8.506418154886052e-06,8.620207497146998e-06,8.73427676398915e-06,8.749602634810276e-06,8.828051498693743e-06,8.880957244542006e-06,9.052690975112953e-06,9.108815853645106e-06,9.062208410874017e-06,9.053110861984765e-06,9.02000978025695e-06,8.981030282323772e-06,8.910699231295328e-06,8.875848620934965e-06,8.79572020956425e-06,8.68682954747444e-06,8.561423335093373e-06,8.497740492868612e-06,8.467228713516969e-06
1803,35047,"San Miguel, NM",2.2571553933517156e-06,2.3215941459769294e-06,2.388895025939558e-06,2.437142315341685e-06,2.4495721254927413e-06,2.461102409909182e-06,2.462083710710581e-06,2.4575043069707183e-06,2.435915689339936e-06,2.429291908930491e-06,2.4148177221098533e-06,2.416207898245169e-06,2.4222592531871303e-06,2.403205662626629e-06,2.392656679011588e-06,2.3906123023420065e-06,2.3989533591538997e-06,2.403450987826979e-06,2.400016435022082e-06,2.378754917658433e-06,2.3565938745601675e-06,2.3298534277220393e-06,2.306956409022725e-06,2.2884752439297066e-06,2.2668866262989245e-06,2.2482419110723396e-06,2.2337677242517017e-06,2.2173309358282653e-06,2.2201930631656795e-06
1804,35049,"Santa Fe, NM",2.221707392824895e-05,2.302893985718157e-05,2.394206165626486e-05,2.4461275888634263e-05,2.5096095625447148e-05,2.5456655450494646e-05,2.586289157624883e-05,2.6215973422862046e-05,2.6487605936799172e-05,2.6992470534875767e-05,2.732756481174166e-05,2.7565647476487147e-05,2.781201654976792e-05,2.8049694999462906e-05,2.83374961154201e-05,2.8639444758144855e-05,2.8942808153546364e-05,2.922393972117028e-05,2.9554991847531155e-05,2.9795499802579652e-05,3.0010137994396043e-05,3.0135848875102062e-05,3.025953868055558e-05,3.0459220915503407e-05,3.068416659110759e-05,3.083413037484371e-05,3.106251187837716e-05,3.132201794079924e-05,3.136729002645543e-05
1805,35051,"Sierra, NM",1.0167805163425973e-06,1.056025972654068e-06,1.086314230701509e-06,1.130823195271224e-06,1.1560326295607099e-06,1.1836429623539562e-06,1.210145188145467e-06,1.2197487821605092e-06,1.1967555618744948e-06,1.1701609938328393e-06,1.173023603587323e-06,1.1433817412908945e-06,1.1191880717529996e-06,1.1078299749852093e-06,1.0907466587084514e-06,1.1001655682232045e-06,1.102566466726965e-06,1.1136475367443214e-06,1.1187263605022764e-06,1.1093074509875236e-06,1.0849290969493394e-06,1.0671993849215691e-06,1.0708930749273546e-06,1.0653525399186764e-06,1.0682151496731602e-06,1.0616588499128909e-06,1.0602737161607213e-06,1.0643367751670853e-06,1.062120561163614e-06
1806,35053,"Socorro, NM",9.152982199451184e-07,9.460870024134423e-07,9.680457944380206e-07,9.966851713378012e-07,1.0077807514348765e-06,1.0205610007613505e-06,1.0432749893370387e-06,1.0457729471599404e-06,1.0402542031325992e-06,1.0322375012823563e-06,1.0454824869479751e-06,1.0424036087011427e-06,1.0486775492795935e-06,1.0503622185089924e-06,1.045366302863189e-06,1.0436816336337901e-06,1.0414160439804605e-06,1.033573618257397e-06,1.0329346057910732e-06,1.0153908089883678e-06,1.0175983065993042e-06,1.0030752960010382e-06,9.970337235921597e-07,9.879132729364485e-07,9.785604541111652e-07,9.68452438734772e-07,9.665354013358009e-07,9.622946822411071e-07,9.47539303473269e-07
1807,35055,"Taos, NM",4.43363773870172e-06,4.539526121231409e-06,4.6731137826347585e-06,4.805298948905264e-06,4.967637760531907e-06,5.056170265792657e-06,5.170473619119408e-06,5.273381699491804e-06,5.3007303545822535e-06,5.4073199846783645e-06,5.4884893904916864e-06,5.55300416660249e-06,5.5836837476334434e-06,5.6397835529471855e-06,5.695006798802901e-06,5.691851184754003e-06,5.748827549525773e-06,5.774773709483378e-06,5.8052779786227264e-06,5.813167013744972e-06,5.8782077255305915e-06,5.910289801694388e-06,5.912218232502048e-06,5.9651624237668924e-06,5.9760317610464305e-06,5.988654217242022e-06,6.028099392853248e-06,6.0293265760944855e-06,6.069823623055344e-06
1808,35057,"Torrance, NM",1.338056078574062e-06,1.4104239869037383e-06,1.5415403248024817e-06,1.6483031879682721e-06,1.7676467560908962e-06,1.8639064619074034e-06,1.8963392884474974e-06,1.952317654539831e-06,1.922885730099532e-06,1.90672702648525e-06,1.9481625593247296e-06,1.983365449341558e-06,1.9277333411838162e-06,1.9307342432836114e-06,1.911228379634943e-06,1.8763717475527064e-06,1.894492579463008e-06,1.891491677363213e-06,1.8918379352978046e-06,1.8528262080004672e-06,1.80989022411109e-06,1.7866909424934426e-06,1.7737639796020172e-06,1.7546043738879402e-06,1.7548352125110014e-06,1.7466404413923298e-06,1.7374068964698832e-06,1.737176057846822e-06,1.7667234015986514e-06
