GEO_ID,DP03_0004E,DP03_0005E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
0500000US06023,60195,6223,60195,3334,4714,2817,1198,7306,2250,738,2465,5937,14237,7071,3842,4286
0500000US06025,58404,9461,58404,5539,3522,2379,1497,7126,3733,444,2042,4266,14015,5222,2228,6391
0500000US06027,8356,377,8356,277,743,220,152,758,427,161,371,482,2083,1039,409,1234
0500000US06029,353637,34404,353637,50894,25476,19192,8975,36150,22902,3292,12359,28122,77526,29106,16064,23579
0500000US06031,52477,5259,52477,8523,1757,4014,1538,5242,2639,516,1406,3145,10633,4347,1757,6960
0500000US06033,25509,2860,25509,1491,2531,1318,312,3275,1193,303,941,2689,5823,2366,1317,1950
0500000US06035,8639,640,8639,464,637,179,131,848,342,131,163,388,1796,592,279,2689
0500000US06037,4885032,367715,4885032,22022,301223,434701,157090,486349,312878,214307,291762,651872,1042622,524824,271156,174226
0500000US06039,58744,6859,58744,8504,4950,5581,1063,5290,2820,579,2653,4051,13204,4890,2137,3022
0500000US06041,130613,7097,130613,1122,8105,6036,2914,13212,4021,5467,12600,26775,27568,10700,7470,4623
0500000US06043,7040,756,7040,225,603,263,64,686,210,50,162,555,1300,1895,374,653
0500000US06045,38972,3606,38972,2576,3191,2789,873,5365,1596,320,1589,3203,8504,4430,2129,2407
0500000US06047,108194,13492,108194,12326,8623,11778,4036,11804,7626,968,3075,7146,23797,7682,4275,5058
0500000US06049,2993,328,2993,620,160,24,54,186,90,21,47,325,637,247,250,332
0500000US06051,7097,178,7097,196,535,312,11,436,232,66,675,680,1147,2179,321,307
0500000US06053,189807,11019,189807,29583,13637,10138,4890,17936,7426,2518,6661,19479,37563,21527,8075,10374
0500000US06055,70147,3603,70147,3415,4326,9042,1829,7064,2561,928,3108,7409,15001,9355,3219,2890
0500000US06057,46744,2042,46744,680,4518,2146,819,5562,2292,702,2711,6565,10612,4927,3079,2131
0500000US06059,1596831,91539,1596831,10920,95096,189821,53891,159571,64419,31140,138159,235359,324530,162860,81700,49365
0500000US06061,185819,8303,185819,1388,13644,11278,4146,19814,8526,3429,16272,25036,43255,15631,8296,15104
0500000US06063,7760,697,7760,429,723,562,69,713,515,78,304,582,1899,860,299,727
0500000US06065,1045030,81362,1045030,13276,97350,87286,28311,131048,76768,16199,52241,105188,217950,113678,51802,53933
0500000US06067,732788,51448,732788,6004,52456,41171,16716,79951,44940,11557,47727,89237,159735,69036,35774,78484
0500000US06069,30951,2379,30951,1921,3756,3725,1230,3173,1817,292,1122,3163,5505,2714,1036,1497
0500000US06071,934832,75447,934832,5876,74785,74574,30933,117311,102706,11772,42698,87669,204151,84341,47834,50182
