dataset,exclusions
ethnicity_post2020_CT,36081019903
ethnicity_post2020_CT,36081021603
ethnicity_post2020_CT,36081021900
ethnicity_post2020_CT,36081022900
ethnicity_post2020_CT,36081024600
ethnicity_post2020_CT,36081028803
ethnicity_post2020_CT,36081029900
ethnicity_post2020_CT,36081033100
ethnicity_post2020_CT,36081038301
ethnicity_post2020_CT,36081038302
ethnicity_post2020_CT,36081053502
ethnicity_post2020_CT,36081061302
ethnicity_post2020_CT,36081062400
ethnicity_post2020_CT,36081064102
ethnicity_post2020_CT,36081065402
ethnicity_post2020_CT,36081065501
ethnicity_post2020_CT,36081066302
ethnicity_post2020_CT,36081066404
ethnicity_post2020_CT,36081071600
ethnicity_post2020_CT,36081079300
ethnicity_post2020_CT,36081089202
ethnicity_post2020_CT,36081091602
ethnicity_post2020_CT,36081091604
ethnicity_post2020_CT,36081097207
ethnicity_post2020_CT,36081099900
ethnicity_post2020_CT,36081107202
ethnicity_post2020_CT,36081120702
ethnicity_post2020_CT,36081121100
ethnicity_post2020_CT,36081128300
ethnicity_post2020_CT,36081990100
ethnicity_post2020_CT,36085005902
ethnicity_post2020_CT,36085015400
ethnicity_post2020_CT,36085022802
ethnicity_post2020_CT,36085990100
ethnicity_post2020_CT,36103990100
ethnicity_post2020_CT,36117990100
ethnicity_post2020_CT,36119005600
ethnicity_post2020_CT,37019990100
ethnicity_post2020_CT,37031980100
ethnicity_post2020_CT,37031990100
ethnicity_post2020_CT,37031990200
ethnicity_post2020_CT,37053990100
ethnicity_post2020_CT,37055990100
ethnicity_post2020_CT,37055990200
ethnicity_post2020_CT,37063980100
ethnicity_post2020_CT,37081980100
ethnicity_post2020_CT,37087980100
ethnicity_post2020_CT,37089980100
ethnicity_post2020_CT,37093980100
ethnicity_post2020_CT,37095990100
ethnicity_post2020_CT,37095990200
ethnicity_post2020_CT,37119980100
ethnicity_post2020_CT,37119980200
ethnicity_post2020_CT,37119980300
ethnicity_post2020_CT,37129980100
ethnicity_post2020_CT,37129990100
ethnicity_post2020_CT,37133990100
ethnicity_post2020_CT,37137990100
ethnicity_post2020_CT,37141990100
ethnicity_post2020_CT,37183980200
ethnicity_post2020_CT,39007990000
ethnicity_post2020_CT,39035980100
ethnicity_post2020_CT,39035980200
ethnicity_post2020_CT,39035980500
ethnicity_post2020_CT,39035980900
ethnicity_post2020_CT,39035981100
ethnicity_post2020_CT,39035990000
ethnicity_post2020_CT,39043990100
ethnicity_post2020_CT,39049980000
ethnicity_post2020_CT,39085990000
ethnicity_post2020_CT,39093990200
ethnicity_post2020_CT,39095990000
ethnicity_post2020_CT,39113980000
ethnicity_post2020_CT,40109107101
ethnicity_post2020_CT,40109980002
ethnicity_post2020_CT,40109980005
ethnicity_post2020_CT,41007990000
ethnicity_post2020_CT,41011990101
ethnicity_post2020_CT,41015990101
ethnicity_post2020_CT,41019990000
ethnicity_post2020_CT,41039990000
ethnicity_post2020_CT,41041990100
ethnicity_post2020_CT,41045940000
ethnicity_post2020_CT,41051980000
ethnicity_post2020_CT,41057990100
ethnicity_post2020_CT,42003980000
ethnicity_post2020_CT,42003980100
ethnicity_post2020_CT,42003980300
ethnicity_post2020_CT,42003980400
ethnicity_post2020_CT,42003980800
ethnicity_post2020_CT,42003981000
ethnicity_post2020_CT,42003981100
ethnicity_post2020_CT,42003981200
