GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01031","Coffee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.327,85.058,85.096,92.077,95.885,94.291,97.557,99.414,101.519,103.300,97.777,100.000,100.584,103.773,108.901,108.780,108.639,110.699,110.531,105.741,117.489
 "01031","Coffee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",789469,805137,826195,923369,968162,972766,1043400,1085810,1126179,1167602,1134766,1194263,1228895,1286752,1377063,1388449,1406454,1453696,1484030,1460027,1681588
 "01033","Colbert, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1920841,1948067,2112315,2241309,2311806,2327415,2304721,2319433,2062081,2284030,2398743,2387061,2643717,2551770,2473891,2365945,2263714,2355465,2348225,2340695,2444622
 "01033","Colbert, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.469,81.609,88.490,93.894,96.847,97.501,96.551,97.167,86.386,95.684,100.489,100.000,110.752,106.900,103.638,99.115,94.833,98.676,98.373,98.058,102.411
 "01033","Colbert, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1426779,1470071,1632958,1810120,1942504,2060123,2102387,2158085,1914538,2168474,2361375,2387061,2671511,2643152,2607205,2487224,2455983,2639232,2651190,2635874,2914003
 "01035","Conecuh, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",299986,297052,299870,328075,383717,441942,458270,465687,459159,401995,448031,500247,535588,488957,526627,563738,535163,489553,470223,453603,457634
 "01035","Conecuh, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.968,59.381,59.944,65.583,76.706,88.345,91.609,93.091,91.786,80.359,89.562,100.000,107.065,97.743,105.273,112.692,106.980,97.862,93.998,90.676,91.482
 "01035","Conecuh, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",246030,247395,256252,291503,361319,426029,461299,545959,402285,395470,473186,500247,561265,508558,414769,424814,443362,437903,401362,360875,456406
 "01037","Coosa, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",162956,162097,157498,166457,180892,192957,183518,166682,169437,167884,175712,164344,177802,163725,169464,177742,170246,178434,174970,172501,175564
 "01037","Coosa, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.156,98.633,95.835,101.286,110.069,117.411,111.667,101.423,103.099,102.154,106.918,100.000,108.189,99.623,103.115,108.152,103.591,108.573,106.466,104.963,106.827
