GeoFIPS,GeoName,CountyFIPS,CountyName
15260,"Brunswick, GA (MA)",13191,"McIntosh, GA"
15380,"Buffalo-Cheektowaga, NY (MA)",36029,"Erie, NY"
15380,"Buffalo-Cheektowaga, NY (MA)",36063,"Niagara, NY"
15500,"Burlington, NC (MA)",37001,"Alamance, NC"
15540,"Burlington-South Burlington, VT (MA)",50007,"Chittenden, VT"
15540,"Burlington-South Burlington, VT (MA)",50011,"Franklin, VT"
15540,"Burlington-South Burlington, VT (MA)",50013,"Grand Isle, VT"
15680,"California-Lexington Park, MD (MA)",24037,"St. Mary's, MD"
15940,"Canton-Massillon, OH (MA)",39019,"Carroll, OH"
15940,"Canton-Massillon, OH (MA)",39151,"Stark, OH"
15980,"Cape Coral-Fort Myers, FL (MA)",12071,"Lee, FL"
16020,"Cape Girardeau, MO-IL (MA)",17003,"Alexander, IL"
16020,"Cape Girardeau, MO-IL (MA)",29017,"Bollinger, MO"
16020,"Cape Girardeau, MO-IL (MA)",29031,"Cape Girardeau, MO"
16060,"Carbondale-Marion, IL (MA)",17077,"Jackson, IL"
16060,"Carbondale-Marion, IL (MA)",17087,"Johnson, IL"
16060,"Carbondale-Marion, IL (MA)",17199,"Williamson, IL"
16180,"Carson City, NV (MA)",32510,"Carson City (Independent City), NV"
16220,"Casper, WY (MA)",56025,"Natrona, WY"
16300,"Cedar Rapids, IA (MA)",19011,"Benton, IA"
16300,"Cedar Rapids, IA (MA)",19105,"Jones, IA"
16300,"Cedar Rapids, IA (MA)",19113,"Linn, IA"
16540,"Chambersburg-Waynesboro, PA (MA)",42055,"Franklin, PA"
16580,"Champaign-Urbana, IL (MA)",17019,"Champaign, IL"
16580,"Champaign-Urbana, IL (MA)",17147,"Piatt, IL"
16620,"Charleston, WV (MA)",54005,"Boone, WV"
16620,"Charleston, WV (MA)",54015,"Clay, WV"
16620,"Charleston, WV (MA)",54035,"Jackson, WV"
16620,"Charleston, WV (MA)",54039,"Kanawha, WV"
16620,"Charleston, WV (MA)",54043,"Lincoln, WV"
16700,"Charleston-North Charleston, SC (MA)",45015,"Berkeley, SC"
16700,"Charleston-North Charleston, SC (MA)",45019,"Charleston, SC"
16700,"Charleston-North Charleston, SC (MA)",45035,"Dorchester, SC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37007,"Anson, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37025,"Cabarrus, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37071,"Gaston, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37097,"Iredell, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37109,"Lincoln, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37119,"Mecklenburg, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37159,"Rowan, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",37179,"Union, NC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",45023,"Chester, SC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",45057,"Lancaster, SC"
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",45091,"York, SC"
16820,"Charlottesville, VA (MA)",51065,"Fluvanna, VA"
16820,"Charlottesville, VA (MA)",51079,"Greene, VA"
16820,"Charlottesville, VA (MA)",51125,"Nelson, VA"
16820,"Charlottesville, VA (MA)",51901,"Albemarle + Charlottesville, VA"
16860,"Chattanooga, TN-GA (MA)",13047,"Catoosa, GA"
16860,"Chattanooga, TN-GA (MA)",13083,"Dade, GA"
16860,"Chattanooga, TN-GA (MA)",13295,"Walker, GA"
16860,"Chattanooga, TN-GA (MA)",47065,"Hamilton, TN"
16860,"Chattanooga, TN-GA (MA)",47115,"Marion, TN"
16860,"Chattanooga, TN-GA (MA)",47153,"Sequatchie, TN"
16940,"Cheyenne, WY (MA)",56021,"Laramie, WY"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17031,"Cook, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17037,"DeKalb, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17043,"DuPage, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17063,"Grundy, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17089,"Kane, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17093,"Kendall, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17097,"Lake, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17111,"McHenry, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",17197,"Will, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",18073,"Jasper, IN"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",18089,"Lake, IN"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",18111,"Newton, IN"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",18127,"Porter, IN"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",55059,"Kenosha, WI"
17020,"Chico, CA (MA)",6007,"Butte, CA"
17140,"Cincinnati, OH-KY-IN (MA)",18029,"Dearborn, IN"
17140,"Cincinnati, OH-KY-IN (MA)",18047,"Franklin, IN"
17140,"Cincinnati, OH-KY-IN (MA)",18115,"Ohio, IN"
17140,"Cincinnati, OH-KY-IN (MA)",18161,"Union, IN"
17140,"Cincinnati, OH-KY-IN (MA)",21015,"Boone, KY"
17140,"Cincinnati, OH-KY-IN (MA)",21023,"Bracken, KY"
