GEO_ID,NAME,DP05_0070E,DP05_0070M,DP05_0070MA,DP05_0070EA,DP05_0071E,DP05_0071M,DP05_0071MA,DP05_0071EA,DP05_0072E,DP05_0072M,DP05_0072MA,DP05_0072EA,DP05_0073E,DP05_0073M,DP05_0073MA,DP05_0073EA,DP05_0074E,DP05_0074M,DP05_0074MA,DP05_0074EA,DP05_0075E,DP05_0075M,DP05_0075MA,DP05_0075EA,DP05_0076E,DP05_0076M,DP05_0076MA,DP05_0076EA,DP05_0077E,DP05_0077M,DP05_0077MA,DP05_0077EA,DP05_0078E,DP05_0078EA,DP05_0078M,DP05_0078MA,DP05_0079E,DP05_0079M,DP05_0079MA,DP05_0079EA,DP05_0080E,DP05_0080M,DP05_0080MA,DP05_0080EA,DP05_0081E,DP05_0081M,DP05_0081MA,DP05_0081EA,DP05_0082E,DP05_0082M,DP05_0082MA,DP05_0082EA,DP05_0083E,DP05_0083M,DP05_0083MA,DP05_0083EA,DP05_0084E,DP05_0084M,DP05_0084MA,DP05_0084EA,DP05_0085E,DP05_0085M,DP05_0085MA,DP05_0085EA
0500000US48085,"Collin County, Texas",1039812,*****,*****,,161908,*****,*****,,113996,3302,,,7039,1556,,,2554,846,,,38319,3045,,,877904,*****,*****,,562251,1638,,,103794,,1849,,2735,369,,,168540,1471,,,552,125,,,5182,1251,,,34850,2550,,,5255,1252,,,29595,2339,,
0500000US48087,"Collingsworth County, Texas",2948,174,,,928,181,,,745,221,,,0,14,,,0,14,,,183,139,,,2020,137,,,1695,137,,,263,,78,,20,22,,,0,14,,,23,34,,,0,14,,,19,16,,,0,14,,,19,16,,
0500000US48089,"Colorado County, Texas",20559,*****,*****,,6381,*****,*****,,5858,245,,,0,27,,,0,27,,,523,246,,,14178,*****,*****,,11241,91,,,2498,,135,,6,10,,,143,23,,,0,27,,,35,56,,,255,147,,,79,78,,,176,137,,
0500000US48091,"Comal County, Texas",156257,*****,*****,,44242,*****,*****,,37995,1111,,,1694,688,,,334,262,,,4219,1022,,,112015,*****,*****,,102495,588,,,3502,,271,,190,122,,,1900,206,,,88,121,,,640,544,,,3200,397,,,344,159,,,2856,346,,
0500000US48093,"Comanche County, Texas",13540,*****,*****,,3906,*****,*****,,3767,81,,,0,23,,,12,26,,,127,80,,,9634,*****,*****,,9208,37,,,61,,40,,111,55,,,55,27,,,0,23,,,4,5,,,195,81,,,51,37,,,144,70,,
0500000US48095,"Concho County, Texas",3181,*****,*****,,1100,*****,*****,,777,345,,,0,14,,,66,84,,,257,267,,,2081,*****,*****,,1954,65,,,61,,50,,6,12,,,17,26,,,0,14,,,0,14,,,43,39,,,27,29,,,16,30,,
0500000US48097,"Cooke County, Texas",41215,*****,*****,,7715,*****,*****,,6997,231,,,187,118,,,0,30,,,531,192,,,33500,*****,*****,,30368,374,,,1167,,231,,295,120,,,326,76,,,0,30,,,52,61,,,1292,464,,,331,371,,,961,254,,
0500000US48099,"Coryell County, Texas",81692,*****,*****,,15728,*****,*****,,9442,756,,,3306,745,,,341,184,,,2639,436,,,65964,*****,*****,,46286,258,,,10755,,617,,384,213,,,1689,198,,,603,62,,,217,179,,,6030,690,,,393,263,,,5637,648,,
0500000US48101,"Cottle County, Texas",1560,244,,,322,121,,,290,133,,,0,14,,,0,14,,,32,34,,,1238,210,,,977,185,,,111,,85,,2,3,,,0,14,,,0,14,,,77,84,,,71,47,,,0,14,,,71,47,,
0500000US48103,"Crane County, Texas",4654,*****,*****,,3054,*****,*****,,2987,61,,,24,37,,,17,33,,,26,31,,,1600,*****,*****,,1367,14,,,58,,58,,12,21,,,147,71,,,6,15,,,0,14,,,10,18,,,0,14,,,10,18,,
