GeoFIPS,GeoName,2017,2018,2019,2020,2021
20740,"Eau Claire, WI (MA)",8949759.0,9144818.0,9337250.0,8846127.0,9138281.0
20940,"El Centro, CA (MA)",8039122.0,8000968.0,8285950.0,8639503.0,8201308.0
21060,"Elizabethtown-Fort Knox, KY (MA)",5939236.0,5878170.0,6049395.0,5967831.0,6322973.0
21140,"Elkhart-Goshen, IN (MA)",16441996.0,16607681.0,16064684.0,15661587.0,18720820.0
21300,"Elmira, NY (MA)",3691136.0,3741851.0,3743192.0,3525046.0,3632541.0
21340,"El Paso, TX (MA)",30409532.0,31352307.0,32635022.0,32605878.0,34497923.0
21420,"Enid, OK (MA)",2849100.0,2805923.0,2795832.0,2632022.0,2774090.0
21500,"Erie, PA (MA)",11500326.0,11600425.0,11677494.0,10980387.0,11164431.0
21660,"Eugene-Springfield, OR (MA)",15867405.0,16302256.0,16363906.0,16258193.0,17375993.0
21780,"Evansville, IN-KY (MA)",17861300.0,18372489.0,19411702.0,18468389.0,20100003.0
21820,"Fairbanks, AK (MA)",5765988.0,5667136.0,5668703.0,5462327.0,5646088.0
22020,"Fargo, ND-MN (MA)",14963357.0,15069720.0,15405125.0,14904121.0,15636755.0
22140,"Farmington, NM (MA)",5756828.0,5571010.0,5623271.0,5198248.0,5137504.0
22180,"Fayetteville, NC (MA)",20429752.0,20637146.0,21116877.0,21156903.0,21991344.0
22220,"Fayetteville-Springdale-Rogers, AR (MA)",26264981.0,27042602.0,27665953.0,28797244.0,31427375.0
22380,"Flagstaff, AZ (MA)",7898455.0,7901190.0,7675239.0,6954326.0,7483588.0
22420,"Flint, MI (MA)",15931552.0,16335674.0,16614426.0,15314342.0,15693584.0
22500,"Florence, SC (MA)",9628359.0,9651397.0,9847112.0,9613005.0,9919433.0
22520,"Florence-Muscle Shoals, AL (MA)",5105162.0,5215298.0,5216676.0,5157194.0,5305740.0
22540,"Fond du Lac, WI (MA)",5100413.0,5214222.0,5278635.0,5020548.0,5150611.0
22660,"Fort Collins, CO (MA)",18593761.0,19479555.0,20425737.0,20431541.0,21886159.0
22900,"Fort Smith, AR-OK (MA)",9252836.0,9477180.0,9627289.0,9527869.0,9841496.0
23060,"Fort Wayne, IN (MA)",22444587.0,23295008.0,23463172.0,21765351.0,23326616.0
23420,"Fresno, CA (MA)",42568888.0,43779278.0,44985158.0,44298577.0,45813064.0
23460,"Gadsden, AL (MA)",3095515.0,3131025.0,3067345.0,2835555.0,2900784.0
23540,"Gainesville, FL (MA)",14483506.0,14965419.0,15335342.0,15386140.0,16325859.0
23580,"Gainesville, GA (MA)",10517593.0,11029043.0,11294935.0,11587468.0,12133816.0
23900,"Gettysburg, PA (MA)",4038383.0,3939119.0,3856485.0,3657037.0,3773754.0
24020,"Glens Falls, NY (MA)",6115481.0,6111027.0,6491649.0,6375126.0,6675211.0
24140,"Goldsboro, NC (MA)",4893997.0,4869720.0,4868486.0,4745323.0,4947218.0
24220,"Grand Forks, ND-MN (MA)",5409304.0,5431145.0,5474118.0,5323252.0,5441765.0
24260,"Grand Island, NE (MA)",4050138.0,4106450.0,4122827.0,4078165.0,4450402.0
24300,"Grand Junction, CO (MA)",6404009.0,6686313.0,6825311.0,6634541.0,6885621.0
24340,"Grand Rapids-Kentwood, MI (MA)",58890732.0,60849854.0,61033814.0,60201782.0,64352072.0
24420,"Grants Pass, OR (MA)",2650085.0,2764830.0,2946930.0,2897886.0,3049886.0
24500,"Great Falls, MT (MA)",3715757.0,3765477.0,3719741.0,3680001.0,3780633.0
24540,"Greeley, CO (MA)",18534036.0,20592662.0,21722559.0,19737477.0,20178684.0
24580,"Green Bay, WI (MA)",20005038.0,20648388.0,20744835.0,20180973.0,20603639.0
24660,"Greensboro-High Point, NC (MA)",41215571.0,41409745.0,41097715.0,39588474.0,41004184.0
24780,"Greenville, NC (MA)",9658131.0,9399113.0,9293680.0,8989861.0,9243013.0
24860,"Greenville-Anderson, SC (MA)",43798842.0,45521410.0,46232392.0,45145826.0,47174321.0
25060,"Gulfport-Biloxi, MS (MA)",17329568.0,16998219.0,17452637.0,17818342.0,18617250.0
25180,"Hagerstown-Martinsburg, MD-WV (MA)",11326919.0,11663887.0,11464680.0,10918927.0,11597559.0
25220,"Hammond, LA (MA)",4086210.0,4096259.0,4338972.0,4222957.0,4382166.0
25260,"Hanford-Corcoran, CA (MA)",6443298.0,6336899.0,6453745.0,6550767.0,6591539.0
25420,"Harrisburg-Carlisle, PA (MA)",38684588.0,39391581.0,40622816.0,38618383.0,40605053.0
25500,"Harrisonburg, VA (MA)",7664982.0,7859692.0,7984577.0,7590097.0,8204969.0
25540,"Hartford-East Hartford-Middletown, CT (MA)",100616750.0,100887989.0,101367875.0,93964687.0,97900840.0
25620,"Hattiesburg, MS (MA)",6262313.0,6249222.0,6147668.0,6054546.0,6488415.0
25860,"Hickory-Lenoir-Morganton, NC (MA)",15103484.0,14923589.0,14772281.0,14427958.0,14896449.0
25940,"Hilton Head Island-Bluffton, SC (MA)",8876622.0,9319395.0,9661382.0,9965023.0,10392469.0
25980,"Hinesville, GA (MA)",3790848.0,3833459.0,3849010.0,3756922.0,4070118.0
26140,"Homosassa Springs, FL (MA)",3704389.0,3890477.0,4147491.0,4208962.0,4459685.0
26300,"Hot Springs, AR (MA)",3297461.0,3379134.0,3432909.0,3396356.0,3488827.0
26380,"Houma-Thibodaux, LA (MA)",9241061.0,9579891.0,9539175.0,8952035.0,8820956.0
26420,"Houston-The Woodlands-Sugar Land, TX (MA)",470676136.0,491166782.0,484359415.0,476638820.0,500984295.0
26580,"Huntington-Ashland, WV-KY-OH (MA)",14669576.0,15381602.0,15630673.0,14396110.0,14700886.0
26620,"Huntsville, AL (MA)",27520607.0,28602244.0,30151314.0,30667180.0,32306829.0
26820,"Idaho Falls, ID (MA)",7361547.0,8111156.0,8949739.0,9008901.0,9137295.0
26900,"Indianapolis-Carmel-Anderson, IN (MA)",135881902.0,140736192.0,144383679.0,142339466.0,151510429.0
26980,"Iowa City, IA (MA)",10820185.0,10918793.0,10828353.0,10362584.0,10662671.0
27060,"Ithaca, NY (MA)",6140234.0,6184849.0,6298392.0,5770441.0,6003916.0
27100,"Jackson, MI (MA)",5986766.0,6319957.0,6546808.0,6366847.0,6877822.0
27140,"Jackson, MS (MA)",27649880.0,27640828.0,27543835.0,27363955.0,28383035.0
27180,"Jackson, TN (MA)",8258298.0,8289197.0,8394582.0,8283691.0,8839508.0
27260,"Jacksonville, FL (MA)",80341696.0,82993748.0,86377683.0,87856849.0,94322715.0
27340,"Jacksonville, NC (MA)",8335011.0,8412503.0,8565803.0,8669727.0,9098987.0
27500,"Janesville-Beloit, WI (MA)",6935931.0,7300585.0,7509709.0,7466909.0,7687625.0
27620,"Jefferson City, MO (MA)",7593521.0,7670253.0,8094729.0,7874225.0,7720115.0
27740,"Johnson City, TN (MA)",7311684.0,7446435.0,7651759.0,7689661.0,8241669.0
27780,"Johnstown, PA (MA)",4692840.0,4697005.0,4682004.0,4615588.0,4626528.0
27860,"Jonesboro, AR (MA)",5105989.0,5234530.0,5408759.0,5458361.0,5936950.0
27900,"Joplin, MO (MA)",7558956.0,7656330.0,7580755.0,7268671.0,7600313.0
27980,"Kahului-Wailuku-Lahaina, HI (MA)",9606468.0,10183573.0,10407877.0,8558733.0,9459908.0
28020,"Kalamazoo-Portage, MI (MA)",13678676.0,14546835.0,14955523.0,15060387.0,16058496.0
28100,"Kankakee, IL (MA)",5940652.0,6332562.0,6262410.0,6140372.0,6679390.0
28140,"Kansas City, MO-KS (MA)",133753933.0,136390868.0,139724576.0,137218306.0,141666330.0
28420,"Kennewick-Richland, WA (MA)",14688220.0,15221366.0,15745176.0,15402986.0,16192367.0
28660,"Killeen-Temple, TX (MA)",18366880.0,18495677.0,18834637.0,19166630.0,19966937.0
28700,"Kingsport-Bristol, TN-VA (MA)",13292994.0,13679790.0,13316989.0,13289225.0,14303997.0
28740,"Kingston, NY (MA)",7233714.0,7326583.0,7630419.0,7196814.0,7429326.0
28940,"Knoxville, TN (MA)",43011276.0,44070389.0,44952370.0,45119424.0,48680233.0
29020,"Kokomo, IN (MA)",4279358.0,4391576.0,4386884.0,4135308.0,4497728.0
29100,"La Crosse-Onalaska, WI-MN (MA)",7962972.0,8098515.0,8213299.0,7905209.0,8136049.0
29180,"Lafayette, LA (MA)",21115560.0,22041983.0,21834533.0,20926340.0,21202980.0
29200,"Lafayette-West Lafayette, IN (MA)",11076645.0,11727598.0,11805244.0,11106663.0,11485626.0
29340,"Lake Charles, LA (MA)",16643123.0,16397626.0,16834958.0,13625578.0,14249067.0
29420,"Lake Havasu City-Kingman, AZ (MA)",5323399.0,5437354.0,5639351.0,5773611.0,6269010.0
29460,"Lakeland-Winter Haven, FL (MA)",25742485.0,26450032.0,27402843.0,28204116.0,29827560.0
29540,"Lancaster, PA (MA)",28779773.0,29307162.0,29549059.0,28301522.0,29558896.0
29620,"Lansing-East Lansing, MI (MA)",25569757.0,26063562.0,26363111.0,26157187.0,27549292.0
29700,"Laredo, TX (MA)",11313473.0,10859468.0,11389246.0,11017375.0,11380569.0
29740,"Las Cruces, NM (MA)",7305489.0,7447694.0,7720349.0,7420783.0,7869402.0
29820,"Las Vegas-Henderson-Paradise, NV (MA)",116332382.0,122721414.0,128047468.0,117201658.0,129198324.0
29940,"Lawrence, KS (MA)",4987674.0,5123305.0,5148011.0,5029137.0,5178674.0
30020,"Lawton, OK (MA)",5191990.0,5143664.0,5233018.0,5097650.0,5281857.0
30140,"Lebanon, PA (MA)",5749659.0,5825113.0,5826855.0,5657333.0,6021295.0
30300,"Lewiston, ID-WA (MA)",2618835.0,2610148.0,2756455.0,2795349.0,2927355.0
30340,"Lewiston-Auburn, ME (MA)",4503370.0,4703346.0,4811181.0,5018298.0,5044783.0
30460,"Lexington-Fayette, KY (MA)",28671245.0,29465225.0,30025380.0,28847390.0,29679198.0
30620,"Lima, OH (MA)",7711921.0,8163264.0,7724166.0,7584144.0,8363968.0
30700,"Lincoln, NE (MA)",19552170.0,19940034.0,20346438.0,20246348.0,20905354.0
30780,"Little Rock-North Little Rock-Conway, AR (MA)",36515427.0,37072057.0,37428270.0,37665927.0,39147275.0
30860,"Logan, UT-ID (MA)",5665636.0,6169276.0,6314872.0,6364778.0,6790728.0
30980,"Longview, TX (MA)",14585371.0,15385350.0,15222587.0,14448248.0,14959167.0
31020,"Longview, WA (MA)",4700051.0,4907501.0,5231999.0,5302398.0,5473446.0
31080,"Los Angeles-Long Beach-Anaheim, CA (MA)",965279922.0,991254189.0,1024821682.0,981305230.0,1042007410.0
31140,"Louisville/Jefferson County, KY-IN (MA)",70802465.0,71637665.0,74328652.0,72916159.0,76188675.0
31180,"Lubbock, TX (MA)",13659578.0,14001212.0,14377087.0,14473223.0,14955602.0
31340,"Lynchburg, VA (MA)",10060609.0,10501057.0,10494654.0,10064066.0,10465215.0
31420,"Macon-Bibb County, GA (MA)",10845986.0,11030811.0,10872787.0,10132044.0,10714556.0
31460,"Madera, CA (MA)",6023623.0,6027876.0,6244195.0,6240107.0,6410911.0
31540,"Madison, WI (MA)",47412823.0,49252686.0,50639094.0,49423935.0,52099292.0
31700,"Manchester-Nashua, NH (MA)",25959140.0,26455143.0,27030133.0,26988108.0,29685180.0
31740,"Manhattan, KS (MA)",7189918.0,7104990.0,6861437.0,6859746.0,7097690.0
31860,"Mankato, MN (MA)",5561722.0,5646562.0,5622012.0,5400801.0,5560800.0
31900,"Mansfield, OH (MA)",4544336.0,4591106.0,4596440.0,4413506.0,4599067.0
32580,"McAllen-Edinburg-Mission, TX (MA)",20721197.0,21184628.0,21796318.0,21420961.0,22496207.0
32780,"Medford, OR (MA)",9087979.0,9236535.0,9383009.0,9381689.0,10014915.0
32820,"Memphis, TN-MS-AR (MA)",75341736.0,75977096.0,76608304.0,75770941.0,79423586.0
32900,"Merced, CA (MA)",9136656.0,9152693.0,9229029.0,9094702.0,9236208.0
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (MA)",346955899.0,359852689.0,365639679.0,353476756.0,390532653.0
33140,"Michigan City-La Porte, IN (MA)",4105788.0,4231110.0,4120823.0,3990212.0,4197586.0
33220,"Midland, MI (MA)",5482023.0,5520755.0,5351030.0,5689344.0,5840210.0
33260,"Midland, TX (MA)",21889250.0,27561089.0,33733578.0,31463771.0,31008685.0
33340,"Milwaukee-Waukesha, WI (MA)",99281237.0,100842067.0,102444804.0,98378280.0,102631128.0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (MA)",257849094.0,265734698.0,269646870.0,261228949.0,273794178.0
33540,"Missoula, MT (MA)",5530699.0,5598430.0,5759384.0,5743155.0,6373555.0
33660,"Mobile, AL (MA)",20576160.0,20912705.0,21226460.0,21415829.0,22277342.0
33700,"Modesto, CA (MA)",22191928.0,22810079.0,23293606.0,22610630.0,23527205.0
33740,"Monroe, LA (MA)",8330804.0,8467890.0,8203928.0,7969520.0,7971955.0
33780,"Monroe, MI (MA)",5999722.0,5880549.0,5928026.0,5597580.0,5738150.0
33860,"Montgomery, AL (MA)",18161538.0,18181259.0,18293634.0,17873910.0,18385455.0
34060,"Morgantown, WV (MA)",7846985.0,7912910.0,7661637.0,7593789.0,7919011.0
34100,"Morristown, TN (MA)",5112106.0,5072997.0,5197979.0,5204264.0,5553067.0
34580,"Mount Vernon-Anacortes, WA (MA)",6537005.0,6635744.0,6669840.0,6679499.0,6730598.0
34620,"Muncie, IN (MA)",4030138.0,4096420.0,4128420.0,4029329.0,4164411.0
34740,"Muskegon, MI (MA)",5986522.0,6085095.0,6118683.0,5901734.0,6155453.0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MA)",17915888.0,18299683.0,18661012.0,18942813.0,20126573.0
34900,"Napa, CA (MA)",10996519.0,11046992.0,10987735.0,10386964.0,11381396.0
34940,"Naples-Marco Island, FL (MA)",18972217.0,19603770.0,20295361.0,20239264.0,22806993.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (MA)",130549166.0,134555744.0,139494691.0,138392978.0,153009022.0
35100,"New Bern, NC (MA)",5397061.0,5282920.0,5485766.0,5334062.0,5605089.0
35300,"New Haven-Milford, CT (MA)",49698505.0,50711147.0,51494190.0,49996059.0,52016888.0
35380,"New Orleans-Metairie, LA (MA)",78225064.0,78131482.0,79367490.0,72861022.0,75211932.0
35620,"New York-Newark-Jersey City, NY-NJ-PA (MA)",1714074302.0,1766287427.0,1803714884.0,1740098412.0,1823942483.0
35660,"Niles, MI (MA)",7684118.0,7498236.0,7329099.0,7508467.0,7479801.0
35840,"North Port-Sarasota-Bradenton, FL (MA)",34411905.0,36196323.0,37667744.0,37803250.0,40234292.0
35980,"Norwich-New London, CT (MA)",18942592.0,19248308.0,19209683.0,17957743.0,18262159.0
36100,"Ocala, FL (MA)",9763722.0,10173070.0,10291593.0,10698622.0,11457254.0
36140,"Ocean City, NJ (MA)",5398534.0,5417247.0,5335222.0,5221427.0,5557387.0
36220,"Odessa, TX (MA)",10478298.0,12490648.0,13040470.0,10954580.0,10605581.0
36260,"Ogden-Clearfield, UT (MA)",27303694.0,28783152.0,30087730.0,30861702.0,32136336.0
36420,"Oklahoma City, OK (MA)",74418907.0,77046911.0,78352643.0,75889236.0,76593029.0
