parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn
0702823210148,2014-04-23,,3965 Minnehaha Ave,Howe,12,False,1,2,3,5099.16772565,False,False,True
2702924240040,2014-05-05,,1346 LaSalle Ave,Loring Park,7,True,15,0,10,31170.07686024,False,False,True
3302924340485,2014-05-05,16Twenty,1620 W Lake St,East Isles,10,False,6,6,2,11070.00100995,False,True,True
2302924210470,2014-06-23,Corner Apartments,24 University Ave NE,St. Anthony Main,3,False,57,51,44,6891.47091581,False,True,True
3202924440010,2014-06-23,,2622 W Lake St,Cedar Isles Dean,7,False,90,160,90,56276.22901828,False,True,True
2302924310467,2014-07-14,Mill City Quarter Phase 1,300 S 2nd St,Mill District,3,True,150,194,150,49742.0518483,False,True,True
2402924310086,2014-07-14,Riverton Community Housing,1227 4th St SE,Marcy Holmes,3,False,66,28,95,25641.47296309,True,False,False
1702924410001,2014-07-14,Commons at Penn Ave,1823 Penn Ave N,Willard-Hay,5,False,45,43,31,5193.29750501,False,True,True
0802824420032,2014-07-14,linden 43,4250 Upton Ave S,Linden Hills,13,False,20,38,20,20184.29592507,False,False,False
3302924110017,2014-08-11,Theater Garage Apartments,2004 Lyndale Ave S,Lowry Hill East,10,False,82,91,118,14344.19457223,False,True,True
3302924110099,2014-08-25,The Famous Orthghazi Project,2320 Colfax,Lowry Hill East,10,False,42,38,48,8824.59977938,False,True,True
2302924340720,2014-09-29,Mill City Quarter Phase 2,428 S 2nd St,Mill District,3,True,149,179,38,56514.6215271,False,False,True
2602924120970,2014-10-27,The Encore,935 S 2nd St,Mill District,3,True,124,182,124,31445.98362038,False,False,True
3302924340030,2014-11-10,Lagoon and Irving Apartments,1609 Lagoon Ave,East Isles,7,False,45,48,48,5534.99961139,False,True,True
2602924230764,2014-11-10,Portland Tower,516 8th St S,Elliot Park,7,True,112,201,112,27256.2802702,False,False,True
2202924120015,2015-01-26,NoLo,602 N 1st St,North Loop,3,True,30,55,55,7668.4294037,False,False,False
3302924330177,2015-03-16,Seventeen10,1710 W Lake St,East Isles,7,False,7,5,7,11070.00012203,False,True,True
3002923240161,2015-04-27,Brickhouse Lofts/Max Apartments,150 26th Ave SE,Prospect Park,2,False,313,167,480,108900.07121731,True,False,False
2402924210039,2015-04-27,,721 8th St SE,Marcy-Holmes,3,False,33,20,42,5503.85135422,True,False,False
0102824210127,2015-05-11,L&H Station Phase I,2225 E Lake St,Corcoran,9,False,115,94,115,276805.95221718,False,True,True
3302924330177,2015-05-11,Seventeen10,1710 W Lake St,East Isles,7,False,7,5,7,11070.00012203,False,True,True
1002924320199,2015-06-01,Hawthorne EcoVillage Apartments,617 Lowry Ave N,Hawthorne,5,False,75,69,65,55566.4276037,False,False,False
0302824320328,2015-06-01,,3535 Grand Ave S,Lyndale,8,False,24,18,24,15541.30160738,False,False,False
1102924320173,2015-06-01,Western Line on Second,2415 2nd St NE,Bottineau,3,False,7,7,7,732.63708752,False,True,True
2602924440097,2015-06-15,Anishinabe Bii Gii Wiin,1600 E 19th St,Ventura Village,6,False,32,20,20,54919.66870118,False,True,True
2302924120247,2015-07-06,Nord Haus,315 1st Ave NE,St. Anthony Main,3,False,278,290,241,137224.3030584,False,True,True
2302924340721,2015-07-06,East End,233 Park Ave,Mill District,3,True,183,159,183,19148.14386194,False,True,True
2702924320031,2015-07-06,Episcopal Commons,1730 Clifton Place,Loring Park,7,True,59,60,30,45419.7961524,False,True,True
2202924240106,2015-07-06,Variant,314 6th Ave N,North Loop,3,True,143,156,71,33786.56576971,False,False,True
0102824210122,2015-07-20,,3120 24th Ave S,Corcoran,9,False,135,151,92,112333.70039414,False,False,True
0702823230014,2015-07-20,,4041 Hiawatha Ave,Longfellow,12,False,78,71,78,79249.23745253,False,False,True
3302924430224,2015-07-20,,2809 Girard Ave S,Lowry Hill East,10,False,40,53,20,22201.48952276,False,True,True
2702924130296,2015-08-03,City Club,1004 Marquette Ave,Downtown,7,True,293,0,215,22299.07877075,False,False,True
2202924120015,2015-08-03,NoLo,602 N 1st St,North Loop,3,True,71,44,80,7668.4294037,False,False,False
3302924430228,2015-08-17,Revel,1300 W Lake St,Lowry Hill East,10,False,125,128,125,20720.69041969,False,True,True
0802824420031,2015-09-08,linden 43,4250 Upton Ave S,Linden Hills,13,False,29,36,36,4864.00250877,False,False,False
2202924440129,2015-09-08,365 Nicollet,365 Nicollet Mall,Downtown,3,True,368,367,184,45030.49283032,False,False,True
3402924420484,2015-10-05,,113 E 26th St,Whittier,10,False,70,46,67,29031.31233926,False,False,True
2202924410140,2015-10-19,Maverick,100 Hennepin Ave,Downtown West,3,True,156,33,90,50217.45704584,False,True,True
2202924410138,2015-10-19,Maverick,101 1st Ave N,North Loop,3,True,13,0,13,12709.34112102,False,False,True
3002923130029,2015-12-07,The Link,2929 University Ave SE,Prospect Park,2,False,336,276,562,127074.26855032,True,False,False
0302824230246,2016-01-11,The Amp House,3255 Garfield Ave S,Lyndale,8,False,4,3,0,5056.94320119,False,False,True
0402824210253,2016-01-11,,3041 Holmes Ave S,ECCO,10,False,9,18,18,11408.94410402,False,True,True
3002923310054,2016-01-11,,117 27th Ave SE,Prospect Park,2,False,195,140,450,88449.1071246,True,False,False
2702924320031,2016-01-25,Episcopal Commons,1730 Clifton Place,Loring Park,7,True,64,64,30,45419.7961524,False,True,True
2402924140139,2016-03-14,,823 15th Ave SE,Como,2,False,10,6,12,8661.74890979,True,False,False
2602924231080,2016-03-14,Kraus Anderson Block,501 S 8th St,Elliot Park,7,True,306,213,306,109449.20223003,False,False,True
2302924240109,2016-03-14,Nye's Development,112 E Hennepin Ave,St. Anthony Main,3,False,72,50,48,20143.55419984,False,True,True
3402924330210,2016-03-28,The Lyndy,2903 Harriet Ave S,Whittier,10,False,111,96,127,33895.07191307,False,True,True
3302924110070,2016-03-28,,2008 Bryant Ave S,Lowry Hill East,10,False,10,2,6,6731.17064474,False,True,True
2602924320345,2016-04-11,,1400 Park Ave,Elliot Park,7,True,245,288,126,78085.101412,False,False,True
1102924230136,2016-04-25,Marshall Flats,2525 2nd St NE,Marshall Terrace,1,False,36,9,8,21754.58414902,False,True,True
3402924420484,2016-04-25,,113 E 26th St,Whittier,10,False,70,46,65,29031.31233926,False,False,True
0302824320328,2016-05-09,,3535 Grand Ave S,Lyndale,8,False,24,18,24,15541.30160738,False,False,False
2602924110599,2016-05-23,The Legacy,1220 S 1st St,Mill District,3,True,374,686,374,185968.71055954,False,False,False
3602924220121,2016-05-23,The Bessemer at Seward,2200 Snelling Ave,Seward,6,False,121,95,117,54255.10816986,False,False,True
1602924140164,2016-06-27,Brix Grocery and Deli,915 W Broadway,Near North,5,False,3,0,4,4780.04366394,False,True,True
2702924210227,2016-06-27,PPL YouthLink,41 N 12th St,North Loop,5,True,17,15,50,40360.53404096,False,False,True
1202824120028,2016-06-27,,2707 E 38th St,Standish-Ericsson,12,False,53,44,53,5725.95838275,False,True,True
2502924140021,2016-06-27,The Hub,600 Washington Ave SE,Stadium Village,2,False,438,144,603,12046.45046235,True,False,False
2202924120125,2016-06-27,Borealis (the ACME lot),721 N 1st St,North Loop,3,True,124,222,200,35882.42880149,False,False,False
2402924240207,2016-06-27,Spectrum Apts and Townhomes,805 8th St SE,Marcy-Holmes,3,False,118,77,180,74004.44308694,True,False,False
2202824130109,2016-07-18,,5605 Nicollet Ave,Windom,11,False,6,3,3,5050.18518441,False,True,True
2602924240128,2016-08-01,First Covenant Apartments,815 6th St S,Elliot Park,6,True,159,131,86,92715.46509871,False,True,True
