GeoFIPS,GeoName,median_rent
16087,"Washington, ID",762.0
17001,"Adams, IL",713.0
17003,"Alexander, IL",655.0
17005,"Bond, IL",627.0
17007,"Boone, IL",974.0
17009,"Brown, IL",578.0
17011,"Bureau, IL",731.0
17013,"Calhoun, IL",700.0
17015,"Carroll, IL",701.0
17017,"Cass, IL",630.0
17019,"Champaign, IL",905.0
17021,"Christian, IL",701.0
17023,"Clark, IL",733.0
17025,"Clay, IL",662.0
17027,"Clinton, IL",825.0
17029,"Coles, IL",706.0
17031,"Cook, IL",1214.0
17033,"Crawford, IL",680.0
17035,"Cumberland, IL",666.0
17037,"DeKalb, IL",955.0
17039,"De Witt, IL",713.0
17041,"Douglas, IL",718.0
17043,"DuPage, IL",1433.0
17045,"Edgar, IL",665.0
17047,"Edwards, IL",649.0
17049,"Effingham, IL",676.0
17051,"Fayette, IL",652.0
17053,"Ford, IL",680.0
17055,"Franklin, IL",645.0
17057,"Fulton, IL",696.0
17059,"Gallatin, IL",488.0
17061,"Greene, IL",675.0
17063,"Grundy, IL",1060.0
17065,"Hamilton, IL",668.0
17067,"Hancock, IL",664.0
17069,"Hardin, IL",317.0
17071,"Henderson, IL",696.0
17073,"Henry, IL",760.0
17075,"Iroquois, IL",724.0
17077,"Jackson, IL",717.0
17079,"Jasper, IL",663.0
17081,"Jefferson, IL",753.0
17083,"Jersey, IL",718.0
17085,"Jo Daviess, IL",726.0
17087,"Johnson, IL",635.0
17089,"Kane, IL",1230.0
17091,"Kankakee, IL",954.0
17093,"Kendall, IL",1600.0
17095,"Knox, IL",620.0
17097,"Lake, IL",1286.0
17099,"LaSalle, IL",821.0
17101,"Lawrence, IL",731.0
17103,"Lee, IL",722.0
17105,"Livingston, IL",785.0
17107,"Logan, IL",723.0
17109,"McDonough, IL",666.0
17111,"McHenry, IL",1253.0
17113,"McLean, IL",869.0
17115,"Macon, IL",719.0
17117,"Macoupin, IL",749.0
17119,"Madison, IL",869.0
17121,"Marion, IL",684.0
17123,"Marshall, IL",679.0
17125,"Mason, IL",688.0
17127,"Massac, IL",689.0
17129,"Menard, IL",754.0
17131,"Mercer, IL",692.0
17133,"Monroe, IL",902.0
17135,"Montgomery, IL",654.0
17137,"Morgan, IL",685.0
17139,"Moultrie, IL",752.0
17141,"Ogle, IL",808.0
17143,"Peoria, IL",840.0
17145,"Perry, IL",610.0
17147,"Piatt, IL",875.0
17149,"Pike, IL",594.0
17151,"Pope, IL",359.0
17153,"Pulaski, IL",553.0
17155,"Putnam, IL",689.0
17157,"Randolph, IL",720.0
17159,"Richland, IL",621.0
17161,"Rock Island, IL",785.0
17163,"St. Clair, IL",923.0
17165,"Saline, IL",702.0
17167,"Sangamon, IL",861.0
17169,"Schuyler, IL",807.0
17171,"Scott, IL",558.0
17173,"Shelby, IL",695.0
17175,"Stark, IL",707.0
17177,"Stephenson, IL",696.0
17179,"Tazewell, IL",801.0
17181,"Union, IL",651.0
17183,"Vermilion, IL",726.0
17185,"Wabash, IL",670.0
17187,"Warren, IL",650.0
17189,"Washington, IL",689.0
17191,"Wayne, IL",604.0
17193,"White, IL",645.0
17195,"Whiteside, IL",746.0
17197,"Will, IL",1229.0
17199,"Williamson, IL",779.0
17201,"Winnebago, IL",865.0
17203,"Woodford, IL",868.0
18001,"Adams, IN",685.0
18003,"Allen, IN",840.0
18005,"Bartholomew, IN",1000.0
18007,"Benton, IN",763.0
18009,"Blackford, IN",648.0
18011,"Boone, IN",1122.0
18013,"Brown, IN",837.0
18015,"Carroll, IN",779.0
18017,"Cass, IN",682.0
18019,"Clark, IN",903.0
18021,"Clay, IN",712.0
18023,"Clinton, IN",791.0
18025,"Crawford, IN",703.0
